med_category,description,med_name_examples,med_group
ganciclovir,Antiviral for CMV infections,"GANCICLOVIR 5 MG/KG IV Q12H, GANCICLOVIR 5 MG/KG IV Q24H MAINTENANCE",CMS_sepsis_qualifying_antibiotics
gatifloxacin,Fluoroquinolone antibiotic,"GATIFLOXACIN 400 MG IV DAILY, GATIFLOXACIN 400 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
gentamicin,Aminoglycoside for gram-negative infections,"GENTAMICIN 5 MG/KG IV DAILY, GENTAMICIN 7 MG/KG IV Q24H",CMS_sepsis_qualifying_antibiotics
haloperidol,Typical antipsychotic for delirium and agitation,"HALOPERIDOL 5 MG IV Q6H PRN AGITATION, HALOPERIDOL 2 MG IV Q4H PRN",antipsychotic
hydrocortisone,Corticosteroid ,"HYDROCORTISONE 100 MG IV Q8H, HYDROCORTISONE 50 MG IV Q6H",steroid
hydromorphone,Opioid analgesic ,"HYDROMORPHONE 1 MG IV Q3H PRN PAIN, HYDROMORPHONE 2 MG IV Q4H PRN",analgesia
hydroxocobalamin,Vasopressor ,"HYDROXOCOBALAMIN 5 GM IV INFUSION, HYDROXOCOBALAMIN 5 GM IV OVER 15 MIN",vasopressor
idecabtagene_vicleucel,CAR T-cell therapy for multiple myeloma,"IDECABTAGENE VICLEUCEL 150-450X10^6 CAR+ T CELLS IV, ABECMA INFUSION",car_t
imipenem,Carbapenem antibiotic for severe infections,"IMIPENEM-CILASTATIN 500 MG IV Q6H, IMIPENEM 1 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
imipenem_relebactam,Carbapenem with beta-lactamase inhibitor,"IMIPENEM-RELEBACTAM 500 MG IV Q6H, RECARBRIO 1.25 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
isavuconazole,Triazole antifungal for aspergillosis,"ISAVUCONAZOLE 200 MG IV/PO DAILY, ISAVUCONAZOLE 372 MG IV Q8H X6 DOSES LOAD",CMS_sepsis_qualifying_antibiotics
isavuconazonium,Prodrug of isavuconazole antifungal,"ISAVUCONAZONIUM 372 MG IV Q8H LOAD THEN DAILY, CRESEMBA 372 MG IV DAILY",CMS_sepsis_qualifying_antibiotics
itraconazole,Triazole antifungal for systemic mycoses,"ITRACONAZOLE 200 MG IV Q12H X4 THEN DAILY, ITRACONAZOLE 200 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
kanamycin,Aminoglycoside antibiotic,"KANAMYCIN 15 MG/KG IM DAILY, KANAMYCIN 500 MG IM Q12H",CMS_sepsis_qualifying_antibiotics
ketamine,Dissociative anesthetic for sedation and analgesia,"KETAMINE 100 MG IV PUSH, KETAMINE 1-2 MG/KG IV BOLUS",sedation
lefamulin,Pleuromutilin antibiotic for pneumonia,"LEFAMULIN 150 MG IV Q12H, XENLETA 600 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
levofloxacin,Fluoroquinolone for respiratory and UTI,"LEVOFLOXACIN 750 MG IV DAILY, LEVOFLOXACIN 500 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
lincomycin,Lincosamide antibiotic,"LINCOMYCIN 600 MG IV Q8H, LINCOMYCIN 500 MG IM Q12H",CMS_sepsis_qualifying_antibiotics
linezolid,Oxazolidinone for MRSA and VRE,"LINEZOLID 600 MG IV Q12H, LINEZOLID 600 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
lisocabtagene_maraleucel,CAR T-cell therapy for large B-cell lymphoma,"LISOCABTAGENE MARALEUCEL 50-110X10^6 CAR+ T CELLS IV, BREYANZI INFUSION",car_t
lorazepam,Benzodiazepine for anxiety and seizures,"LORAZEPAM 1 MG IV Q4H PRN ANXIETY, LORAZEPAM 2 MG IV PUSH",anxiolytic
maribavir,Antiviral for CMV infection post-transplant,"MARIBAVIR 400 MG PO Q12H, LIVTENCITY 400 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
meropenem,Carbapenem for severe bacterial infections,"MEROPENEM 1 GM IV Q8H, MEROPENEM 2 GM IV Q8H MENINGITIS",CMS_sepsis_qualifying_antibiotics
meropenem_vaborbactam,Carbapenem with beta-lactamase inhibitor,"MEROPENEM-VABORBACTAM 4 GM IV Q8H, VABOMERE 2 GM-2 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
methicillin,Anti-staphylococcal penicillin,"METHICILLIN 2 GM IV Q4H, METHICILLIN 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
methylene_blue,Vasopressor ,"METHYLENE BLUE 2 MG/KG IV OVER 30 MIN, METHYLENE BLUE 100 MG IV INFUSION",vasopressor
methylprednisolone,Corticosteroid for inflammation and immunosuppression,"METHYLPREDNISOLONE 125 MG IV Q6H, METHYLPREDNISOLONE 1 GM IV DAILY X3 DAYS",steroid
metronidazole,Nitroimidazole for anaerobic infections and C. diff,"METRONIDAZOLE 500 MG IV Q8H, METRONIDAZOLE 500 MG PO Q8H",CMS_sepsis_qualifying_antibiotics
mezlocillin,Extended-spectrum penicillin,"MEZLOCILLIN 3 GM IV Q4H, MEZLOCILLIN 4 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
micafungin,Echinocandin antifungal for candidiasis,"MICAFUNGIN 100 MG IV DAILY, MICAFUNGIN 150 MG IV Q24H",CMS_sepsis_qualifying_antibiotics
micafungin_posaconazole_voriconazole,Combination antifungal category,"MICAFUNGIN 100 MG IV DAILY, VORICONAZOLE 200 MG IV Q12H",CMS_sepsis_qualifying_antibiotics
midazolam,benzodiazepam for sedation,"MIDAZOLAM 2 MG IV Q2H PRN, MIDAZOLAM 5 MG IV PUSH",sedation
minocycline,Tetracycline for MRSA and other infections,"MINOCYCLINE 100 MG IV Q12H, MINOCYCLINE 100 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
morphine,Opioid analgesic for moderate to severe pain,"MORPHINE 4 MG IV Q4H PRN PAIN, MORPHINE 2-10 MG IV Q2H PRN",analgesia
moxifloxacin,Fluoroquinolone for respiratory infections,"MOXIFLOXACIN 400 MG IV DAILY, MOXIFLOXACIN 400 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
nafcillin,Anti-staphylococcal penicillin for MSSA,"NAFCILLIN 2 GM IV Q4H, NAFCILLIN 1 GM IV Q4H",CMS_sepsis_qualifying_antibiotics
nitrofurantoin,Antibiotic for uncomplicated UTI,"NITROFURANTOIN 100 MG PO Q12H, NITROFURANTOIN MACRO 100 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
norfloxacin,Fluoroquinolone for UTI,"NORFLOXACIN 400 MG PO Q12H, NORFLOXACIN 400 MG PO Q12H X3 DAYS",CMS_sepsis_qualifying_antibiotics
nystatin,Polyene antifungal for mucocutaneous candidiasis,"NYSTATIN 500000 UNITS PO QID SWISH/SWALLOW, NYSTATIN SUSPENSION 5 ML PO QID",CMS_sepsis_qualifying_antibiotics
ofloxacin,Fluoroquinolone for various infections,"OFLOXACIN 400 MG IV Q12H, OFLOXACIN 400 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
olanzapine,Atypical antipsychotic for agitation and psychosis,"OLANZAPINE 10 MG IM Q2H PRN AGITATION, OLANZAPINE 5 MG PO Q12H",antipsychotic
omadacycline,Aminomethylcycline tetracycline antibiotic,"OMADACYCLINE 100 MG IV Q12H, NUZYRA 300 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
oritavancin,Long-acting lipoglycopeptide for skin infections,"ORITAVANCIN 1200 MG IV SINGLE DOSE, ORBACTIV 1200 MG IV X1",CMS_sepsis_qualifying_antibiotics
oseltamivir,Neuraminidase inhibitor for influenza,"OSELTAMIVIR 75 MG PO Q12H X5 DAYS, TAMIFLU 75 MG PO BID",CMS_sepsis_qualifying_antibiotics
oxacillin,Anti-staphylococcal penicillin,"OXACILLIN 2 GM IV Q4H, OXACILLIN 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
oxycodone,Opioid analgesic for moderate to severe pain,"OXYCODONE 5 MG PO Q4H PRN PAIN, OXYCODONE 10 MG PO Q6H PRN",analgesia
penicillin,Beta-lactam antibiotic for streptococcal infections,"PENICILLIN G 4 MILLION UNITS IV Q4H, PENICILLIN VK 500 MG PO Q6H",CMS_sepsis_qualifying_antibiotics
peramivir,Neuraminidase inhibitor for influenza,"PERAMIVIR 600 MG IV SINGLE DOSE, RAPIVAB 600 MG IV X1",CMS_sepsis_qualifying_antibiotics
piperacillin_tazobactam,Extended-spectrum penicillin with beta-lactamase inhibitor,"PIPERACILLIN-TAZOBACTAM 4.5 GM IV Q6H, ZOSYN 3.375 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
pivampicillin,Prodrug of ampicillin,"PIVAMPICILLIN 500 MG PO Q12H, PIVAMPICILLIN 250 MG PO Q8H",CMS_sepsis_qualifying_antibiotics
plazomicin,Aminoglycoside for resistant UTI,"PLAZOMICIN 15 MG/KG IV Q24H, ZEMDRI 15 MG/KG IV DAILY",CMS_sepsis_qualifying_antibiotics
polymyxin_b,Polymyxin antibiotic for resistant gram-negatives,"POLYMYXIN B 2.5 MG/KG/DAY IV DIVIDED Q12H, POLYMYXIN B 1.5 MG/KG IV Q12H",CMS_sepsis_qualifying_antibiotics
posaconazole,Triazole antifungal for prophylaxis and treatment,"POSACONAZOLE 300 MG IV Q12H X1 DAY THEN DAILY, POSACONAZOLE 200 MG PO TID",CMS_sepsis_qualifying_antibiotics
prednisolone,Corticosteroid for inflammatory conditions,"PREDNISOLONE 40 MG PO DAILY, PREDNISOLONE 20 MG PO Q12H",steroid
prednisone,Corticosteroid for inflammation and immunosuppression,"PREDNISONE 60 MG PO DAILY, PREDNISONE 20 MG PO BID",steroid
promethazine,Antihistamine and antiemetic,"PROMETHAZINE 25 MG IV Q6H PRN NAUSEA, PROMETHAZINE 12.5 MG IV PUSH",other
propofol,Sedation,"PROPOFOL 200 MG IV BOLUS, PROPOFOL 1-2 MG/KG IV PUSH",sedation
quetiapine,Atypical antipsychotic for delirium,"QUETIAPINE 25 MG PO Q12H, QUETIAPINE 50 MG PO BID PRN AGITATION",antipsychotic
quinupristin_dalfopristin,Streptogramin for resistant gram-positives,"QUINUPRISTIN-DALFOPRISTIN 7.5 MG/KG IV Q8H, SYNERCID 7.5 MG/KG IV Q8H",CMS_sepsis_qualifying_antibiotics
rezafungin,Echinocandin antifungal for candidiasis,"REZAFUNGIN 400 MG IV LOADING THEN 200 MG IV WEEKLY, REZZAYO 200 MG IV Q1WEEK",CMS_sepsis_qualifying_antibiotics
ribavirin,Antiviral for RSV and hepatitis C,"RIBAVIRIN 1200 MG PO DIVIDED Q12H, RIBAVIRIN 6 GM AEROSOL Q12-18H",CMS_sepsis_qualifying_antibiotics
rifampin,Antimycobacterial and anti-staphylococcal,"RIFAMPIN 600 MG IV DAILY, RIFAMPIN 300 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
risperidone,Atypical antipsychotic for agitation,"RISPERIDONE 1 MG PO Q12H, RISPERIDONE 2 MG PO BID PRN AGITATION",antipsychotic
rocuronium,Intermediate-acting neuromuscular blocker,"ROCURONIUM 50 MG IV BOLUS, ROCURONIUM 1 MG/KG IV PUSH",paralytics
streptomycin,Aminoglycoside for tuberculosis,"STREPTOMYCIN 1 GM IM DAILY, STREPTOMYCIN 15 MG/KG IM DAILY",CMS_sepsis_qualifying_antibiotics
succinylcholine,Neuromuscular blocking agent,"SUCCINYLCHOLINE 100 MG IV PUSH, SUCCINYLCHOLINE 1-2 MG/KG IV BOLUS",paralytics
sulbactam_durlobactam,Beta-lactamase inhibitor combination,"SULBACTAM-DURLOBACTAM 1 GM IV Q6H, XACDURO 2 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
sulfadiazine,Sulfonamide antibiotic for toxoplasmosis,"SULFADIAZINE 1500 MG PO Q6H, SULFADIAZINE 1 GM PO QID",CMS_sepsis_qualifying_antibiotics
sulfadiazine_trimethoprim,Sulfonamide combination antibiotic,"SULFADIAZINE-TRIMETHOPRIM 800-160 MG PO Q12H, COTRIMOXAZOLE DS 1 TAB PO BID",CMS_sepsis_qualifying_antibiotics
sulfisoxazole,Sulfonamide antibiotic for UTI,"SULFISOXAZOLE 1 GM PO Q6H, SULFISOXAZOLE 500 MG PO QID",CMS_sepsis_qualifying_antibiotics
tedizolid,Oxazolidinone for skin infections,"TEDIZOLID 200 MG IV DAILY, SIVEXTRO 200 MG PO DAILY X6 DAYS",CMS_sepsis_qualifying_antibiotics
telavancin,Lipoglycopeptide for complicated skin infections,"TELAVANCIN 10 MG/KG IV DAILY, VIBATIV 750 MG IV Q24H",CMS_sepsis_qualifying_antibiotics
telithromycin,Ketolide antibiotic for pneumonia,"TELITHROMYCIN 800 MG PO DAILY, KETEK 800 MG PO DAILY X5 DAYS",CMS_sepsis_qualifying_antibiotics
tetracycline,Tetracycline antibiotic for various infections,"TETRACYCLINE 500 MG PO Q6H, TETRACYCLINE 250 MG PO QID",CMS_sepsis_qualifying_antibiotics
ticarcillin,Extended-spectrum penicillin for pseudomonas,"TICARCILLIN 3 GM IV Q4H, TICARCILLIN 4 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
ticarcillin_clavulanate,Extended-spectrum penicillin with beta-lactamase inhibitor,"TICARCILLIN-CLAVULANATE 3.1 GM IV Q4H, TIMENTIN 3.1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
tigecycline,Glycylcycline for complicated infections,"TIGECYCLINE 100 MG IV LOAD THEN 50 MG IV Q12H, TYGACIL 50 MG IV Q12H",CMS_sepsis_qualifying_antibiotics
tisagenlecleucel,CAR T-cell therapy for ALL and lymphoma,"TISAGENLECLEUCEL 0.2-5X10^6 CAR+ T CELLS/KG IV, KYMRIAH INFUSION",car_t
tobramycin,Aminoglycoside for gram-negative infections,"TOBRAMYCIN 5 MG/KG IV DAILY, TOBRAMYCIN 7 MG/KG IV Q24H",CMS_sepsis_qualifying_antibiotics
tocilizumab,IL-6 receptor antagonist,"TOCILIZUMAB 8 MG/KG IV SINGLE DOSE, ACTEMRA 400 MG IV X1",other
trimethoprim,Antifolate antibiotic for UTI,"TRIMETHOPRIM 100 MG PO Q12H, TRIMETHOPRIM 200 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
