med_category,description,med_name_examples,med_group
milrinone,Phosphodiesterase inhibitor inotrope,"MILRINONE 40 MG/200 ML IV INFUSION, MILRINONE 0.375-0.75 MCG/KG/MIN IV",vasoactives
morphine,Opiate analgesic,"MORPHINE 100 MG/100 ML IV INFUSION, MORPHINE 1-5 MG/HR IV PCA",sedation
naloxone,Opioid antagonist for reversal,"NALOXONE 0.4 MG/100 ML IV INFUSION, NALOXONE 0.25-2 MCG/KG/HR IV",others
nicardipine,Calcium channel blocker for hypertension,"NICARDIPINE 25 MG/250 ML IV INFUSION, NICARDIPINE 5-15 MG/HR IV",cardiac
nitric_oxide,Inhaled pulmonary vasodilator,"NITRIC OXIDE 20 PPM INHALED CONTINUOUS, NITRIC OXIDE 5-40 PPM VENTILATOR", pulmonary vasodilators (inhaled)
nitroglycerin,Nitrate vasodilator for angina and hypertension,"NITROGLYCERIN 50 MG/250 ML IV INFUSION, NITROGLYCERIN 5-200 MCG/MIN IV",cardiac
nitroprusside,Arterial vasodilator for hypertensive emergency,"NITROPRUSSIDE 50 MG/250 ML IV INFUSION, NITROPRUSSIDE 0.3-10 MCG/KG/MIN IV",cardiac
norepinephrine,Catecholamine for hemodynamic support,"NOREPINEPHRINE 16 MG/250 ML IV INFUSION, NOREPINEPHRINE 0.01-3 MCG/KG/MIN IV",vasoactives
octreotide,Somatostatin analog for GI bleeding,"OCTREOTIDE 1000 MCG/250 ML IV INFUSION, OCTREOTIDE 25-50 MCG/HR IV",gastrointestinal
oxytocin,Hormone for labor induction and postpartum bleeding,"OXYTOCIN 30 UNITS/500 ML IV INFUSION, OXYTOCIN 1-20 MILLIUNITS/MIN IV",endocrine
pantoprazole,Proton pump inhibitor for acid suppression,"PANTOPRAZOLE 80 MG/100 ML IV INFUSION, PANTOPRAZOLE 8 MG/HR IV CONTINUOUS",gastrointestinal
papaverine,Smooth muscle relaxant vasodilator,"PAPAVERINE 300 MG/250 ML IV INFUSION, PAPAVERINE 30-60 MG/HR IV ARTERIAL",cardiac
pentobarbital,Barbiturate for refractory intracranial hypertension,"PENTOBARBITAL 500 MG/250 ML IV INFUSION, PENTOBARBITAL 1-5 MG/KG/HR IV",sedation
phentolamine,Alpha blocker for extravasation and hypertension,"PHENTOLAMINE 10 MG/250 ML IV INFUSION, PHENTOLAMINE 0.1-2 MG/MIN IV",others
phenylephrine,Alpha-1 agonist vasopressor,"PHENYLEPHRINE 200 MG/250 ML IV INFUSION, PHENYLEPHRINE 0.5-3 MCG/KG/MIN IV",vasoactives
pitocin,Synthetic oxytocin for labor augmentation,"PITOCIN 20 UNITS/1000 ML IV INFUSION, PITOCIN 2-20 MILLIUNITS/MIN IV",others
plasma_lyte,Balanced crystalloid electrolyte solution,"PLASMA-LYTE A 1000 ML IV MAINTENANCE, PLASMA-LYTE 500 ML IV AT 150 ML/HR",fluids_electrolytes
procainamide,Antiarrhythmic for ventricular arrhythmias,"PROCAINAMIDE 2 GM/500 ML IV INFUSION, PROCAINAMIDE 1-6 MG/MIN IV",cardiac
propofol,Sedative-hypnotic for anesthesia and sedation,"PROPOFOL 1000 MG/100 ML IV INFUSION, PROPOFOL 5-50 MCG/KG/MIN IV",sedation
remifentanil,Ultra-short acting opioid analgesic,"REMIFENTANIL 5 MG/100 ML IV INFUSION, REMIFENTANIL 0.05-2 MCG/KG/MIN IV",sedation
rocuronium,Neuromuscular blocking agent for paralysis,"ROCURONIUM 500 MG/100 ML IV INFUSION, ROCURONIUM 8-12 MCG/KG/MIN IV",paralytics
ropivacaine,Long-acting local anesthetic,"ROPIVACAINE 0.2% 200 ML EPIDURAL INFUSION, ROPIVACAINE 6-14 ML/HR EPIDURAL",others
sodium_bicarbonate,Alkalinizing agent,"SODIUM BICARBONATE 150 MEQ/1000 ML IV INFUSION, BICARB 50-100 MEQ/HR IV",fluids_electrolytes
sodium_chloride,Isotonic saline for fluid replacement,"SODIUM CHLORIDE 0.9% 1000 ML IV MAINTENANCE, NORMAL SALINE 500 ML IV BOLUS",fluids_electrolytes
tacrolimus,Immunosuppressant for transplant and other indications,"TACROLIMUS 5 MG/250 ML IV INFUSION, TACROLIMUS 0.01-0.05 MG/KG/DAY IV",others
terbutaline,Beta-2 agonist for bronchospasm,"TERBUTALINE 5 MG CONTINUOUS NEBULIZER, TERBUTALINE 10 MG NEBULIZER Q4H",Inhaled
terbutaline,Beta-2 agonist tocolytic for preterm labor,"TERBUTALINE 5 MG/500 ML IV INFUSION, TERBUTALINE 2.5-10 MCG/MIN IV",others
torsemide,Loop diuretic for fluid management,"TORSEMIDE 100 MG/250 ML IV INFUSION, TORSEMIDE 20 MG IV Q12H",diuretics
tpn,Total parenteral nutrition for IV feeding,"TPN 2000 ML IV CONTINUOUS, TPN STANDARD FORMULA 1500 ML/DAY IV",fluids_electrolytes
treprostinil,Prostacyclin analog for pulmonary hypertension,"TREPROSTINIL 20 MG/100 ML IV INFUSION, TREPROSTINIL 1-40 NG/KG/MIN IV",pulmonary vasodilators (IV)
vasopressin,Antidiuretic hormone for septic shock,"VASOPRESSIN 20 UNITS/100 ML IV INFUSION, VASOPRESSIN 0.01-0.04 UNITS/MIN IV",vasoactives
vecuronium,Neuromuscular blocking agent for paralysis,"VECURONIUM 100 MG/100 ML IV INFUSION, VECURONIUM 0.8-1.2 MCG/KG/MIN IV",paralytics
zidovudine,Antiretroviral for HIV prevention,"ZIDOVUDINE 200 MG/200 ML IV INFUSION, ZIDOVUDINE 1-2 MG/KG Q4H IV",others
