organism_category,description,organism_name_examples
aspergillus_niger,,"aspergillus niger complex, few aspergillus niger complex"
aspergillus_ochraceus,,"aspergillus ochraceus westerdijkiae, aspergillus ochraceous westerdijikiae"
aspergillus_sp,Aspergillus organism identified to the genus level only; species not further specified.,"rare aspergillus, aspergillus species"
aspergillus_sydowii,,"few aspergillus sydowii, rare aspergillus sydowii"
aspergillus_terreus,,"few aspergillus terreus, rare aspergillus terreus"
aspergillus_versicolor,,aspergillus versicolor
atopobium_parvulum,,atopobium parvulum
atopobium_sp,Atopobium organism identified to the genus level only; species not further specified.,"atopobium, atopobium species"
atopobium_vaginae,,atopobium vaginae
aureobasidium_sp,Aureobasidium organism identified to the genus level only; species not further specified.,"aureobasidium/hormonema sp., aureobasidium sp."
bacillus_cereus,,"few bacillus cereus, many bacillus cereus"
bacillus_licheniformis,,bacillus licheniformis
bacillus_megaterium,,"rare bacillus megaterium, bacillus megaterium"
bacillus_simplex,,bacillus simplex
bacillus_sp,Bacillus organism identified to the genus level only; species not further specified.,"bacillus species, rare bacillus species"
bacillus_subtilis,,bacillus subtilis
bacteria_other,,"four or more strains of aerobic gram positive organisms present, gram variable bacilli"
bacteroides_caccae,,"few bacteroides caccae, bacteroides caccae"
bacteroides_capillosus,,pseudoflavonifractor (bacteroides) capillosus
bacteroides_eggerthii,,bacteroides eggerthii
bacteroides_faecis,,moderate bacteroides fragilis group
bacteroides_fragilis,,"few bacteroides fragilis group, moderate bacteroides fragilis"
bacteroides_ovatus,,"moderate bacteroides ovatus, bacteroides ovatus"
bacteroides_pyogenes,,"bacteroides pyogenes, rare bacteroides pyogenes"
bacteroides_sp,Bacteroides organism identified to the genus level only; species not further specified.,"bacteroides dorei/vulgatus, bacteroides species"
bacteroides_stercoris,,"few bacteroides stercoris, bacteroides stercoris"
bacteroides_thetaiotaomicron,,"many bacteroides thetaiotaomicron, bacteroides thetaiotaomicron"
bacteroides_uniformis,,"moderate bacteroides uniformis, bacteroides uniformis"
bacteroides_vulgatus,,"rare bacteroides vulgatus, many bacteroides vulgatus"
bacteroides_xylanisolvens,,bacteroides ovatus/xylanisolvens
bifidobacterium_sp,Bifidobacterium organism identified to the genus level only; species not further specified.,"rare bifidobacterium, many bifidobacterium"
bilophila_wadsworthia,,"few bilophila wadsworthia, bilophila wadsworthia"
blastomyces_dermatitidis,,"rare blastomyces dermatitidis, few blastomyces dermatitidis"
blastomyces_sp,Blastomyces organism identified to the genus level only; species not further specified.,"yeast resembling blastomyces, rare blastomyces"
bordetella_bronchiseptica,,bordetella bronchiseptica
bordetella_hinzii,,"many bordetella hinzii, bordetella hinzii"
bordetella_sp,Bordetella organism identified to the genus level only; species not further specified.,"bordetella species, not pertussis or parapertussis"
bordetella_trematum,,"bordetella trematum, <1,000 cfu/ml bordetella trematum"
brevibacillus_sp,Brevibacillus organism identified to the genus level only; species not further specified.,brevibacillus species
brevibacterium_casei,,"rare brevibacterium casei, brevibacterium casei"
brevibacterium_luteolum,,brevibacterium luteolum
brevibacterium_sp,Brevibacterium organism identified to the genus level only; species not further specified.,"brevibacterium species, rare brevibacterium"
brevundimonas_diminuta,,"rare brevundimonas diminuta, brevundimonas diminuta"
brevundimonas_sp,Brevundimonas organism identified to the genus level only; species not further specified.,
brevundimonas_vesicularis,,rare brevundimonas vesicularis
brucella_intermedia,,brucella intermedia formerly ochrobactrum intermedium
burkholderia_cepacia,,"burkholderia cepacia complex, moderate burkholderia cepacia complex"
burkholderia_gladioli,,"moderate burkholderia gladioli, many burkholderia gladioli"
burkholderia_sp,Burkholderia organism identified to the genus level only; species not further specified.,burkholderia species
campylobacter_coli,,
campylobacter_jejuni,,
campylobacter_sp,Campylobacter organism identified to the genus level only; species not further specified.,"20,000 cfu/gram of tissue campylobacter"
campylobacter_ureolyticus,,campylobacter (bacteroides) ureolyticus
candida_albicans,,"isolated from broth only candida albicans, candida albicans"
candida_auris,,"moderate candida auris, 50,000 - 99,000 cfu/ml candida auris"
candida_colliculosa,,"1,000 - 9,000 cfu/ml candida colliculosa, few candida colliculosa"
candida_dubliniensis,,"candida dubliniensis, many candida dubliniensis"
candida_famata,,candida famata
candida_fermentati,,candida fermentat
candida_glabrata,,"'>100,000 cfu/ml candida glabrata, candida glabrata"
candida_guilliermondii,,"moderate candida guilliermondii, few candida guilliermondii"
candida_haemulonii,,rare candida haemulonii
candida_intermedia,,"candida intermedia, moderate candida intermedia"
candida_kefyr,,"candida kefyr, rare candida kefyr"
candida_krusei,,"rare candida krusei, many candida krusei"
candida_lambica,,candida lambica
candida_lipolytica,,candida lipolytica
candida_lusitaniae,,"candida lusitaniae, rare candida lusitaniae"
candida_nivariensis,,candida nivariensis
candida_orthopsilosis,,many candida orthopsilosis
candida_parapsilosis,,"many candida parapsilosis, moderate candida parapsilosis complex"
candida_pararugosa,,candida pararugosa
candida_pelliculosa,,"rare candida pelliculosa, candida pelliculosa (hansenula anomala)"
candida_pulcherrima,,"c. pulcherrima, candida pulcherrima"
candida_rugosa,,candida rugosa
candida_sp,Candida organism identified to the genus level only; species not further specified.,"candida sp. not candida albicans, rare candida species not candida albicans"
candida_tropicalis,,"moderate candida tropicalis, rare candida tropicalis"
candida_utilis,,candida utilis
capnocytophaga_gingivalis,,capnocytophaga gingivalis
capnocytophaga_sp,Capnocytophaga organism identified to the genus level only; species not further specified.,"10,000 - 49,000 cfu/ml capnocytophaga, few capnocytophaga"
cardiobacterium_hominis,,cardiobacterium hominis
cardiobacterium_sp,Cardiobacterium organism identified to the genus level only; species not further specified.,
cellulosimicrobium_cellulans,,cellulosimicrobium cellulans
chaetomium_sp,Chaetomium organism identified to the genus level only; species not further specified.,"rare chaetomium, few chaetomium"
chryseobacterium_indologenes,,"chryseobacterium indologenes, moderate chryseobacterium indologenes"
chryseobacterium_sp,Chryseobacterium organism identified to the genus level only; species not further specified.,chryseobacterium species
citrobacter_amalonaticus,,"10,000 - 49,000 cfu/ml citrobacter amalonaticus, 50,000 - 99,000 cfu/ml citrobacter amalonaticus"
citrobacter_farmeri,,citrobacter farmeri
citrobacter_freundii,,"moderate citrobacter freundii, citrobacter freundii"
citrobacter_koseri,,"50,000 - 99,000 cfu/ml citrobacter koseri, >=100,000 cfu/ml citrobacter koseri"
citrobacter_koserii,,citrobacter koserii
citrobacter_sp,Citrobacter organism identified to the genus level only; species not further specified.,citrobacter species
cladosporium_sp,Cladosporium organism identified to the genus level only; species not further specified.,"cladosporium species, rare cladosporium"
clostridioides_difficile,,clostridioides difficile (formerly clostridium difficile)
clostridium_bifermentans,,clostridium bifermentans
clostridium_butyricum,,clostridium butyricum
clostridium_cadaveris,,clostridium cadaveris
clostridium_clostridioforme,,"rare clostridium clostridioforme, clostridium clostridioforme"
clostridium_difficile,,"clostridioides difficile (formerly clostridium difficile), rare clostridioides difficile"
clostridium_innocuum,,clostridium innocuum
clostridium_paraputrificum,,clostridium paraputrificum
clostridium_perfringens,,"few clostridium perfringens, moderate clostridium perfringens"
clostridium_ramosum,,"clostridium ramosum, rare clostridium ramosum"
clostridium_septicum,,clostridium septicum
clostridium_sordellii,,"paeniclostridium sordellii (formerly known as clostridium sordellii), clostridium sordellii"
clostridium_sp,Clostridium organism identified to the genus level only; species not further specified.,"clostridium species, clostridium sp. not perfringens"
clostridium_sporogenes,,clostridium sporogenes
clostridium_tertium,,"many clostridium tertium, rare clostridium tertium"
cokeromyces_recurvatus,,cokeromyces recurvatus
collinsella_aerofaciens,,collinsella (eubacterium) aerofaciens
comamonas_testosteroni,,comamonas testosteroni
corynebacterium_accolens,,rare corynebacterium accolens
corynebacterium_afermentans,,corynebacterium afermentans
corynebacterium_amycolatum,,"corynebacterium amycolatum, corynebacterium amycolatum/xerosis"
corynebacterium_aurimucosum,,">=100,000 cfu/ml corynebacterium aurimucosum, 1,000 - 10,000 cfu/ml corynebacterium aurimucosum"
corynebacterium_bovis,,"corynebacterium bovis, moderate corynebacterium bovis"
corynebacterium_coyleae,,">=100,000 cfu/ml corynebacterium coyleae, corynebacterium coyleae"
corynebacterium_diptheriae,,
corynebacterium_durum,,"isolated from broth only corynebacterium durum, rare corynebacterium durum"
corynebacterium_freneyi,,"many corynebacterium freneyi, moderate corynebacterium freneyi"
corynebacterium_glucuronolyticum,,"corynebacterium glucuronolyticum, 50,000 - 99,000 cfu/ml corynebacterium glucuronolyticum"
corynebacterium_imitans,,corynebacterium imitans
corynebacterium_jeikeium,,"moderate corynebacterium jeikeium, 50,000 - 99,000 cfu/ml corynebacterium jeikeium"
corynebacterium_macginleyi,,"corynebacterium macginleyi, many corynebacterium macginleyi"
corynebacterium_propinquum,,"corynebacterium propinquum, few corynebacterium propinquum"
corynebacterium_pseudodiphtheriticum,,corynebacterium pseudodiphtheriticum
corynebacterium_simulans,,"corynebacterium simulans, many corynebacterium simulans"
corynebacterium_sp,Corynebacterium organism identified to the genus level only; species not further specified.,"corynebacterium species, rare corynebacterium species"
corynebacterium_striatum,,"few corynebacterium striatum, >=100,000 cfu/ml corynebacterium striatum"
corynebacterium_tuberculostearicum,,"corynebacterium tuberculostearicum, 1,000 - 10,000 cfu/ml corynebacterium tuberculostearicum"
corynebacterium_urealyticum,,">=100,000 cfu/ml corynebacterium urealyticum, 1,000 - 10,000 cfu/ml corynebacterium urealyticum"
cronobacter_malonaticus,,"cronobacter malonaticus, 10,000 - 49,000 cfu/ml cronobacter malonaticus"
cronobacter_sakazakii,,cronobacter sakazakii
cronobacter_sp,Cronobacter organism identified to the genus level only; species not further specified.,"100,000 cfu/gram of tissue cronobacter"
cryptococcus_albidus,,cryptococcus albidus
cryptococcus_neoformans,,"cryptococcus neoformans, cryptococcus neoformans/gattii"
cunninghamella_sp,Cunninghamella organism identified to the genus level only; species not further specified.,rare cunninghamella
cupriavidus_pauculus,,cupriavidus pauculus
curtobacterium_sp,Curtobacterium organism identified to the genus level only; species not further specified.,curtobacterium
curvularia_sp,Curvularia organism identified to the genus level only; species not further specified.,curvularia sp.
cutibacterium_acnes,,"many cutibacterium acnes (formerly propionibacterium acnes), isolated from broth only cutibacterium acnes (formerly propionibacterium acnes)"
cutibacterium_avidum,,"few cutibacterium avidum, moderate cutibacterium avidum"
delftia_acidovorans,,delftia (comomonas) acidovorans
dematiaceous_sp,Dematiaceous organism identified to the genus level only; species not further specified.,dematiaceous fungus
dermabacter_hominis,,"rare dermabacter hominis, dermabacter hominis"
dermacoccus_nishinomiyaensis,,dermacoccus nishinomiyaensis
desulfovibrio_sp,Desulfovibrio organism identified to the genus level only; species not further specified. Common misspellings: desulfovibri_sp.,
dialister_pneumosintes,,dialister pneumosintes
dialister_sp,Dialister organism identified to the genus level only; species not further specified.,dialister
dietzia_cinnamea,,dietzia cinnamea
dietzia_sp,Dietzia organism identified to the genus level only; species not further specified.,
dolosigranulum_pigrum,,"rare dolosigranulum pigrum, dolosigranulum pigrum"
edwardsiella_tarda,,edwardsiella tarda
eggerthella_lenta,,"few eggerthella lenta, many eggerthella lenta"
eggerthella_lentum,,eggerthella lentum
eggerthella_sp,Eggerthella organism identified to the genus level only; species not further specified.,eggerthella
eggerthia_catenaformis,,eggerthia catenaformis
eikenella_corrodens,,"few eikenella corrodens, moderate eikenella corrodens"
elizabethkingia_anophelis,,elizabethkingia anophelis
elizabethkingia_meningoseptica,,"many elizabethkingia meningoseptica, elizabethkingia meningoseptica"
elizabethkingia_sp,Elizabethkingia organism identified to the genus level only; species not further specified.,elizabethkingia
enterobacter_aerogenes,,enterobacter aerogenes
enterobacter_amnigenus,,enterobacter amnigenus
enterobacter_cancerogenus,,enterobacter cancerogenus
enterobacter_cloacae,,"10,000 - 49,000 cfu/ml enterobacter cloacae complex, <1,000 cfu/ml enterobacter cloacae complex"
enterobacter_sp,Enterobacter organism identified to the genus level only; species not further specified.,"enterobacter species"
enterococcus_avium,,"few enterococcus avium, enterococcus avium/raffinosus"
enterococcus_casseliflavus,,"50,000 - 99,000 cfu/ml enterococcus casseliflavus, enterococcus casseliflavus"
enterococcus_durans,,"enterococcus durans, many enterococcus durans"
enterococcus_faecalis,,"1,000 - 10,000 cfu/ml enterococcus faecalis, moderate enterococcus faecalis"
enterococcus_faecium,," vancomycin resistant enterococcus faecium, 1,000 - 10,000 cfu/ml vancomycin resistant enterococcus faecium"
enterococcus_gallinarum,,"few enterococcus gallinarum, 1,000 - 10,000 cfu/ml enterococcus gallinarum"
enterococcus_hirae,,"enterococcus hirae, many enterococcus hirae"
enterococcus_raffinosus,,"rare enterococcus raffinosus, few enterococcus raffinosus"
enterococcus_saccharolyticus,,many peptostreptococcus asaccharolyticus
enterococcus_sp,Enterococcus organism identified to the genus level only; species not further specified.,"vancomycin resistant enterococcus"
epicoccum_sp,Epicoccum organism identified to the genus level only; species not further specified.,rare epicoccum
erysipelothrix_rhusiopathiae,,erysipelothrix rhusiopathiae
escherichia_coli,,"few escherichia coli, 1,000 - 10,000 cfu/ml multiple drug-resistant escherichia coli"
escherichia_hermannii,,moderate escherichia hermannii
escherichia_sp,Escherichia organism identified to the genus level only; species not further specified.,escherichia hermanii
eubacterium_callanderi,,eubacterium callanderi
eubacterium_sp,Eubacterium organism identified to the genus level only; species not further specified.,"eubacterium species, eubacterium"
ewingella_americana,,ewingella americana
exiguobacterium_acetylicum,,"exiguibacterium acetylicum, exiguobacterium acetylicum"
exophiala_dermatitidis,,"exophiala dermatitidis., exophiala (wangiella) dermatitidis"
facklamia_hominis,,facklamia hominis
facklamia_sp,Facklamia organism identified to the genus level only; species not further specified.,"facklamia, facklamia species"
finegoldia_magna,,"rare finegoldia magna, finegoldia magna"
francisella_tularensis,,francisella tularensis
fungus_other,,"overgrown with rhizopus, many filamentous fungus"
fusarium_proliferatum,,rare fusarium proliferatum
fusarium_solani,,"rare fusarium solani, few fusarium solani"
fusarium_sp,Fusarium organism identified to the genus level only; species not further specified.,"few fusarium solani, moderate fusarium"
fusobacterium_gonidiaformans,,fusobacterium gonidiaformans
fusobacterium_necrophorum,,"moderate fusobacterium necrophorum, fusobacterium necrophorum"
fusobacterium_nucleatum,,"few fusobacterium nucleatum, fusobacterium nucleatum"
fusobacterium_sp,Fusobacterium organism identified to the genus level only; species not further specified.,"fusobacterium species, fusobacterium sp. not f. nucleatum"
gardnerella_vaginalis,,"10,000 - 49,000 cfu/ml gardnerella vaginalis, 50,000 - 99,000 cfu/ml gardnerella vaginalis"
gemella_morbillorum,,gemella morbillorum
gemella_sp,Gemella organism identified to the genus level only; species not further specified.,"gemella species, 10,000 - 49,000 cfu/ml gemella"
geotrichum_sp,Geotrichum organism identified to the genus level only; species not further specified.,"geotrichum, few geotrichum"
globicatella_sanguinis,,globicatella sanguinis
gordonia_bronchialis,,gordonia bronchialis
gordonia_sp,Gordonia organism identified to the genus level only; species not further specified.,
gram_negative_diplococci,,"moderate gram negative diplococci, many gram negative diplococci"
gram_negative_rod,,"anaerobic gram negative bacilli, few gram negative coccobacilli"
gram_positive_cocci,,"gram positive cocci in chains, few gram positive cocci in pairs, chains, and clusters"
gram_positive_rod,,"rare gram positive bacilli, moderate gram positive bacilli"
granulicatella_adiacens,,"granulicatella adiacens, rare granulicatella adiacens"
granulicatella_elegans,,granulicatella elegans
haemophilus_haemolyticus,,"haemophilus influenzae/haemolyticus, moderate haemophilus haemolyticus"
haemophilus_influenzae,,"many haemophilus influenzae, rare haemophilus influenzae"
haemophilus_parainfluenzae,,"rare haemophilus parainfluenzae, many haemophilus parainfluenzae"
haemophilus_sp,Haemophilus organism identified to the genus level only; species not further specified.,haemophilus ducreyi isolated
hafnia_alvei,,"moderate hafnia alvei, hafnia alvei"
hafnia_sp,Hafnia organism identified to the genus level only; species not further specified.,hafnia species
histoplasma_capsulatum,,"few histoplasma capsulatum, many histoplasma capsulatum"
kingella_denitrificans,,kingella denitrificans
klebsiella_aerogenes,,"klebsiella aerogenes, klebsiella aerogenes (formerly enterobacter aerogenes)"
klebsiella_oxytoca,,"klebsiella oxytoca, 50,000 - 99,000 cfu/ml klebsiella oxytoca"
klebsiella_pneumoniae,,"10,000 - 49,000 cfu/ml klebsiella pneumoniae, many klebsiella pneumoniae"
klebsiella_sp,Klebsiella organism identified to the genus level only; species not further specified.,klebsiella species
klebsiella_variicola,,"many klebsiella variicola, 50,000 - 99,000 cfu/ml klebsiella variicola"
kloeckera_sp,Kloeckera organism identified to the genus level only; species not further specified.,kloeckera sp.
kluyvera_sp,Kluyvera organism identified to the genus level only; species not further specified.,"many kluyvera, kluyvera"
kocuria_palustris,,rare kocuria palustris
kocuria_sp,Kocuria organism identified to the genus level only; species not further specified.,"kocuria, kocuria species"
kodamaea_ohmeri,,kodamaea ohmeri
lactobacillus_acidophilus,,lactobacillus acidophilus
lactobacillus_fermentum,,lactobacillus fermentum
lactobacillus_sp,Lactobacillus organism identified to the genus level only; species not further specified.,"many lactobacillus"
lactococcus_sp,Lactococcus organism identified to the genus level only; species not further specified.,lactococcus species
leclercia_adecarboxylata,,"rare leclercia adecarboxylata, 50,000 - 99,000 cfu/ml leclercia adecarboxylata"
legionella_bozemanae,,legionella bozemanae
legionella_dumoffii,,fluoribacter (legionella) dumoffii
legionella_feeleii,,legionella feeleii
legionella_pneumophila,,legionella pneumophila
legionella_sp,Legionella organism identified to the genus level only; species not further specified.,"isolate legionella, legionella isolated"
lelliottia_amigena,Common misspellings: lettiottia_amingena.,
leptotrichia_buccalis,,leptotrichia buccalis
leuconostoc_sp,Leuconostoc organism identified to the genus level only; species not further specified.,"rare leuconostoc, leuconostoc species"
lichtheimia_sp,Lichtheimia organism identified to the genus level only; species not further specified.,lichtheimia species (formerly absidia)
listeria_monocytogenes,,listeria monocytogenes
lysinibacillus_fusiformis,,lysinibacillus fusiformis
lysinibacillus_sp,Lysinibacillus organism identified to the genus level only; species not further specified.,lysinibacillus
malassezia_furfur,,"malassezia furfur, malassezia furfur complex"
malassezia_pachydermatis,,few malassezia pachydermatis
microbacterium_flavescens,,"rare microbacterium flavescens, microbacterium flavescens"
microbacterium_sp,Microbacterium organism identified to the genus level only; species not further specified.,"rare microbacterium, microbacterium species"
micrococcus_luteus,,"micrococcus luteus, many micrococcus luteus"
micrococcus_sp,Micrococcus organism identified to the genus level only; species not further specified.,"micrococcus species, rare micrococcus"
microsporum_gypseum,,microsporum gypseum
microsporum_sp,Microsporum organism identified to the genus level only; species not further specified.,
moraxella_catarrhalis,,"many moraxella catarrhalis, moraxella catarrhalis"
moraxella_nonliquefaciens,,"moderate moraxella nonliquefaciens, moraxella non-liquefaciens"
moraxella_osloensis,,"few moraxella osloensis, moraxella osloensis"
moraxella_sp,Moraxella organism identified to the genus level only; species not further specified.,moraxella species
morganella_morganii,,"few morganella morganii, rare morganella morganii"
morganella_sp,Morganella organism identified to the genus level only; species not further specified.,
mucor_circinelloides,,"few mucor circinelloides, rare mucor circinelloides"
mucor_sp,Mucor organism identified to the genus level only; species not further specified.,"few mucor, rare mucor"
mycobacterium_abscessus,,"many mycobacterium abscessus, mycobacterium abscessus"
mycobacterium_avium,,"mycobacterium avium complex, mycobacterium avium"
mycobacterium_chelonae,,"mycobacterium chelonae-abscessus complex, mycobacterium chelonae complex"
mycobacterium_farcinogenes,,mycobacterium farcinogenes/fortuitum/senegalense/mucogenicum
mycobacterium_fortuitum,,"mycobacterium fortuitum, mycobacterium fortuitum complex"
mycobacterium_gordonae,,"mycobacterium gordonae, mycobacterium gordonae/paragordonae"
mycobacterium_kansasii,,mycobacterium kansasii
mycobacterium_kubicae,,mycobacterium kubicae
mycobacterium_lentiflavum,,mycobacterium lentiflavum
mycobacterium_llatzerense,,mycobacterium llatzerense/
mycobacterium_malmoense,,mycobacterium monacense
mycobacterium_marinum,,
mycobacterium_mucogenicum,,"mycobacterium mucogenicum group, mycobacterium mucogenicum"
mycobacterium_neoaurum,,mycobacterium neoaurum
mycobacterium_paraffinicum,,mycobacterium paraffinicum
mycobacterium_scrofulaceum,,"mycobacterium scrofulaceum"
mycobacterium_szulgai,,mycobacterium smegmatis
mycobacterium_tuberculosis,,"mycobacterium tuberculosis complex, mycobacterium tuberculosis"
mycobacterium_xenopi,,mycobacterium xenopi
mycoplasma_hominis,,"mycoplasma hominis, few mycoplasma hominis"
mycoplasma_sp,Mycoplasma organism identified to the genus level only; species not further specified.,"moderate mycoplasma species, mycoplasma species"
myroides_sp,Myroides organism identified to the genus level only; species not further specified.,myroides species (formerly flavobacterium odoratum)
neisseria_gonorrhoeae,,neisseria gonorrhoeae
neisseria_meningitidis,,"10,000 - 49,000 cfu/ml neisseria meningitidis, many neisseria meningitidis"
neisseria_mucosa,,"neisseria mucosa, neisseria mucosa/subflava"
neisseria_sp,Neisseria organism identified to the genus level only; species not further specified.,"rare neisseria species, few neisseria species"
neisseria_subflava,,neisseria subflava
no_growth,,"< 10,000/ml, no growth 56 days"
nocardia_abscessus,,nocardia abscessus complex
nocardia_brasiliensis,,nocardia brasiliensis
nocardia_cyriacigeorgica,,nocardia cyriacigeorgica
nocardia_farcinica,,"nocardia farcinica, moderate nocardia farcinica"
nocardia_nova,,
nocardia_sp,Nocardia organism identified to the genus level only; species not further specified.,"nocardia species"
nocardia_thailandica,,nocardia thailandica
nocardia_veterana,,nocardia veterana
nocardia_wallacei,,nocardia wallacei
ochraconis_sp,Ochraconis organism identified to the genus level only; species not further specified.,ochraconis species
ochrobactrum_anthropi,,"ochrobactrum anthropi, moderate ochrobactrum anthropi"
ochrobactrum_intermedium,,ochrobactrum intermedium
ochrobactrum_sp,Ochrobactrum organism identified to the genus level only; species not further specified.,ochrobactrum species
odoribacter_splanchnicus,,odoribacter splanchnicus
oligella_ureolytica,,oligella ureolytica
oligella_urethralis,,"oligella urethralis, few oligella urethralis"
paecilomyces_lilacinus,,purpureocillium (formerly paecilomyces) lilacinum
paecilomyces_sp,Paecilomyces organism identified to the genus level only; species not further specified.,"rare paecilomyces, few paecilomyces"
paenibacillus_sp,Paenibacillus organism identified to the genus level only; species not further specified.,"rare paenibacillus, paenibacillus species"
pandoraea_sp,Pandoraea organism identified to the genus level only; species not further specified.,pandoraea sp.
pantoea_agglomerans,,"rare pantoea agglomerans, many pantoea agglomerans"
pantoea_sp,Pantoea organism identified to the genus level only; species not further specified.,"many pantoea, moderate pantoea"
parabacteroides_distasonis,,"parabacteroides distasonis, few parabacteroides distasonis"
parabacteroides_merdae,,"parabacteroides merdae, rare parabacteroides merdae"
parvimonas_micra,,"rare parvimonas micra, parvimonas micra"
pasteurella_canis,,"rare pasteurella canis, pasteurella canis"
pasteurella_multocida,,"pasteurella multocida, few pasteurella multocida"
pasteurella_sp,Pasteurella organism identified to the genus level only; species not further specified.,"many pasteurella, pasteurella species"
pediococcus_acidilactici,,pediococcus acidilactici
penicillium_sp,Penicillium organism identified to the genus level only; species not further specified.,"few penicillium species, penicillium species"
peptoniphilus_assacharolyticus,,"rare peptoniphilus asaccharolyticus, peptoniphilus assacharolyticus"
peptoniphilus_harei,,peptoniphilus harei
peptoniphilus_sp,Peptoniphilus organism identified to the genus level only; species not further specified.,"peptoniphilus species, peptoniphilus"
peptostreptococcus_anaerobius,,"few peptostreptococcus anaerobius, peptostreptococcus anaerobius"
peptostreptococcus_sp,Peptostreptococcus organism identified to the genus level only; species not further specified.,peptostreptococcus sp.
pithomyces_sp,Pithomyces organism identified to the genus level only; species not further specified.,pithomyces sp.
plasmodium_falciparum,,"p.falciparum, plasmodium falciparum"
plasmodium_sp,Plasmodium organism identified to the genus level only; species not further specified.,"occasional malaria present, malaria parasite presents"
